Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
20-000460,2019-12,05/21/2019 19:30,Y, , ,1, , 65701,4,LARCENY-MTR VEH PARTS UNDER $500,527,N GRAND BLVD,77,FOX THEATER, ,527,GRAND,896718.4,1021623
19-023950,2019-12,05/24/2019 14:00, , , ,-1, ,265321,4,LEAVING SCENE OF ACCIDENT, ,14TH CLARK,36,4TH DISTRICT, , , ,0,0
19-024631,2019-12,05/26/2019 17:00,Y, , ,1, , 21000,1,RAPE -- FORCIBLE,4700,S BROADWAY,17, , ,4700,BROADWAY,0,0
19-064846,2019-12,06/01/2019 00:01,Y, , ,1, ,204100,4,FAMILY & CHILD CRIME-ENDANGR WELF CHILD,1120,N LEONARD AVE,77, , ,1120,LEONARD,898776.4,1023568
19-026858,2019-12,06/09/2019 15:30, , , ,-1, , 71013,5,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR, , ,53,PHILLIPS 66, , , ,0,0
19-027140,2019-12,06/10/2019 23:45, , , ,1, ,204100,4,FAMILY & CHILD CRIME-ENDANGR WELF CHILD,1519,20TH,61, , ,1519,20TH,0,0
19-029615,2019-12,06/22/2019 22:20,Y, , ,1, , 21000,4,RAPE -- FORCIBLE,1000,CLARK AVE,35, ,EXACT LOCATION UNKNOWN,1000,CLARK,0,0
19-063666,2019-12,06/23/2017 09:59,Y, , ,1, ,103000,6,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,4454,BIRCHER BLVD,69, , ,4454,BIRCHER,896689.9,1037406
19-057914,2019-12,06/24/2016 12:28,Y, , ,1, ,113000,5,FRAUD-DEFRAUDING SECURED CREDITOR,4100,FOREST PARK AVE,38, , ,4100,FOREST PARK,892146.4,1020235
19-061602,2019-12,07/01/2019 00:01,Y, , ,1, ,171300,5,SEX OFFNS-STATUATORY RAPE/SECOND,5600,COTE BRILLIANTE AVE,50, , ,5600,COTE BRILLIANTE,0,0
19-061474,2019-12,07/01/2019 08:00,Y, , ,1, , 21000,3,RAPE -- FORCIBLE,3000,PENNSYLVANIA AVE,25, , ,3000,PENNSYLVANIA,0,0
19-060198,2019-12,07/01/2019 12:00,Y, , ,1, , 52222,2,BURGLARY-BUSINESS/NIT/UNLAW ENT/UNOCCUPIED,3252,JANUARY AVE,14, ,STORAGE ROOM,3252,JANUARY,880766.6,1008292
19-060315,2019-12,07/03/2019 12:00,Y, , ,1, , 71013,6,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,5951,DRURY LN,73, ,DRIVEWAY,5951,DRURY,892332.8,1047845
19-064897,2019-12,07/10/2018 15:00,Y, , ,1, ,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,7046,PERNOD AVE,9, , ,7046,PERNOD,873550.9,1006831
19-064651,2019-12,07/12/2019 00:01,Y, , ,1, ,204100,1,FAMILY & CHILD CRIME-ENDANGR WELF CHILD,4411,PENNSYLVANIA AVE,17, , ,4411,PENNSYLVANIA,895236.9,998681.2
19-064112,2019-12,07/20/2019 15:30,Y, , ,1, , 69602,4,"LARCENY-ALL OTHER $500 - $24,999",110,CASS AVE,64, , ,110,CASS,910607.8,1021471
19-060437,2019-12,07/24/2019 09:55,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1455,LASALLE,33, , ,1455,LASALLE,0,0
19-063426,2019-12,08/06/2019 00:01,Y, , ,1, , 43025,4,ASSLT-AGGRAV-OTH-WPN-2ND-CHILD-DOMESTIC,1128,BRISTOL LN,63, , ,1128,BRISTOL,908330.1,1024409
19-039143,2019-12,08/06/2019 03:34,Y, , ,1, ,152200,2,WEAPONS-CITY VIOL/DISCHRGING IN CITY,3919,FOLSOM AVE,28, , , ,DIST2,893014.7,1014957
19-038326,2019-12,08/07/2019 15:51, , , ,1, ,182260,6,DRUGS-POSSESSION/METHAMPHETAMINE, , ,74, , , , ,0,0
19-038326,2019-12,08/07/2019 15:51, , , ,-1, ,182999,6,DRUGS-POSSESSION/OTHR UNSPEC DRUG, , ,74, , , , ,0,0
19-061880,2019-12,08/10/2019 03:00,Y, , ,1, , 65701,3,LARCENY-MTR VEH PARTS UNDER $500,2615,ST VINCENT AVE,31, , ,2615,ST VINCENT,899882.8,1013910
19-060429,2019-12,08/10/2019 03:00,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1015,HICKORY,34, , ,1015,HICKORY,0,0
19-060565,2019-12,08/12/2018 23:00,Y, , ,1, , 67701,1,LARCENY-FROM BUILDING UNDER $500,6705,MINNESOTA AVE,1, , ,6705,MINNESOTA,890884.6,991125.4
19-060810,2019-12,08/13/2019 19:00,Y, , ,1, , 67701,4,LARCENY-FROM BUILDING UNDER $500,1401,CLARK AVE,36,ENTERPRISE CENTER,@ENTERPRISE CENTER, , ,905209.3,1017077
20-000321,2019-12,08/15/2019 11:23,Y, , ,1, , 63701,2,LARCENY-SHOPLIFT UNDER $500,4180,MANCHESTER AVE,39,MAYS PLACE, ,4180,MANCHESTER,890673.3,1017299
19-061418,2019-12,08/18/2018 15:00,Y, , ,1, , 67701,4,LARCENY-FROM BUILDING UNDER $500,111,N 15TH ST,36, , ,111,15TH,905308.5,1018077
19-042154,2019-12,08/22/2019 11:49,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1200,MARKET ST,36,ROOM 111,@CITY HALL,1200,MARKET,906055.1,1017127
19-061007,2019-12,08/25/2019 19:45,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1462,MORRISON,33, , ,1462,MORRISON,0,0
19-060194,2019-12,08/26/2019 08:00,Y, , ,1, ,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,5621,HANCOCK AVE,14, , ,5621,HANCOCK,881485.8,1007227
19-064308,2019-12,09/01/2019 10:02,Y, , ,1, , 95100,2,"STALKING (HARASSMENT ONLY, NO THREAT)",5305,PERNOD AVE,14, , ,5305,PERNOD,882859,1005813
19-056669,2019-12,09/02/2019 00:01,Y, , ,1, ,179220,4,SEX OFFNS-CHILD MOLESTATION-SECOND DEGREE,1900,OLIVE ST,36, ,@HEADQUARTERS,1900,OLIVE,0,0
19-044168,2019-12,09/03/2019 16:30, , , ,-1, , 72113,1,AUTO THEFT-TRUCK/PERM RETNT/UNRECOV OVER 48HR,3982,EICHELBERGER,5, , ,3992,EICHELBERGER,0,0
19-061013,2019-12,09/03/2019 18:00,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1434,PEABODY,33, , ,1430,CHOUTEAU,0,0
19-061009,2019-12,09/04/2019 05:30,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1308,DILLON,33, , ,1430,CHOUTEAU,0,0
19-060399,2019-12,09/04/2019 12:00,Y, , ,1, ,112010,5,FRAUD-CREDIT DEVICE/OVER $150,5342,DR MARTIN LUTHER KING DR,78, , ,5342,DR MARTIN LUTHER KING,886056.5,1031491
19-060792,2019-12,09/04/2019 16:48,Y, , ,1, , 63601,2,"LARCENY-SHOPLIFT $500 - $24,999",2315,S KINGSHIGHWAY BLVD,13,WALGREENS, ,2315,KINGSHIGHWAY,886595.3,1011915
19-060781,2019-12,09/06/2019 09:41,Y, , ,1, , 69702,2,LARCENY-ALL OTHER UNDER $500,2315,S KINGSHIGHWAY BLVD,13,WALGREENS, ,2315,KINGSHIGHWAY,886595.3,1011915
19-061016,2019-12,09/09/2019 12:30,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1415,PEABODY CT,33, , ,1415,PEABODY,904476.4,1013699
19-045252,2019-12,09/11/2019 22:00, , , ,-1, , 71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,823,COLE,62, , ,823,COLE,0,0
19-045384,2019-12,09/12/2019 13:10,Y, , ,1, ,152200,6,WEAPONS-CITY VIOL/DISCHRGING IN CITY,4265,ATHLONE AVE,68,YEATMAN SCHOOL,@SCHOOL - YEATMAN,4265,ATHLONE,897803.3,1034677
19-046779,2019-12,09/17/2019 13:00,Y, , ,1, , 71013,6,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4934,MARGARETTA AVE,69, , ,4934,MARGARETTA,891998.8,1035796
19-060423,2019-12,09/17/2019 15:00,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1205,LAFAYETTE AVE,33, , ,1205,LAFAYETTE,904245.4,1012189
19-047008,2019-12,09/19/2019 11:00,Y, , ,1, , 91113,3,SIMPLE ASSAULT-ADULT/NO INJURY,3421,LOUISIANA AVE,30, , ,200,TUCKER,894627.9,1005361
19-047008,2019-12,09/19/2019 11:00,Y, , ,1, , 43016,3,ASSLT-AGGRAV-OTH-WPN-3RD-ADULT-DOMESTIC,3421,LOUISIANA AVE,30, , ,200,TUCKER,894627.9,1005361
19-060432,2019-12,09/20/2019 08:03,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1113,S 14TH,33, , ,1113,14TH,0,0
19-060674,2019-12,09/20/2019 10:20,Y, , ,1, , 69702,5,LARCENY-ALL OTHER UNDER $500,6105,ETZEL AVE,48,ETZEL TERRACE APARTMENTS, ,6105,ETZEL,879425.1,1031441
19-063737,2019-12,09/20/2019 17:00,Y, , ,1, , 51312,1,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,6317,LOUISIANA AVE,1, , ,6317,LOUISIANA,889587.2,993673.5
19-048293,2019-12,09/24/2019 08:00,Y, , ,1, , 21000,5,RAPE -- FORCIBLE,5600,PAGE BLVD,48, , ,5600,PAGE,0,0
19-064087,2019-12,09/24/2019 19:00,Y, , ,1, , 69702,1,LARCENY-ALL OTHER UNDER $500,4920,TYROLEAN AVE,6, , ,4920,TYROLEAN,881579.1,996810.7
19-061471,2019-12,09/27/2019 12:11,Y, , ,1, ,115100,1,FRAUD-STEALING BY DECEIT/OVER $150,4355,GERMANIA ST,4, , ,4355,GERMANIA,881916.1,993321.7
19-058923,2019-12,09/27/2019 18:15,Y, , ,1, , 41011,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,4300,WARNE AVE,67,BOTTOM TO TOP CAR WASH, ,4300,WARNE,900378.4,1033497
19-058923,2019-12,09/27/2019 18:15,Y, , ,1, , 41011,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,4300,WARNE AVE,67,BOTTOM TO TOP CAR WASH, ,4300,WARNE,900378.4,1033497
19-058923,2019-12,09/27/2019 18:15,Y, , ,1, , 41011,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,4300,WARNE AVE,67,BOTTOM TO TOP CAR WASH, ,4300,WARNE,900378.4,1033497
19-048545,2019-12,09/28/2019 04:13, , , ,1, ,130000,4,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",400,TUCKER,35, , , , ,0,0
19-048726,2019-12,09/29/2019 07:22,Y, , ,1, , 82000,4,ARSON-2ND DEGREE/SUCCESS,215,CASS AVE,64, , , , ,910450.7,1022051
19-048843,2019-12,09/29/2019 20:45,Y, , ,1, , 44015,6,ASSLT-AGGRV-HND/FST/FT-2ND-ADUL-DOMESTIC,4332,PENROSE ST,68, , ,4332,PENROSE,897077.7,1034446
19-048843,2019-12,09/29/2019 20:45,Y, , ,1, , 91124,6,"ASSAULT, CHILD, AGE 16 AND UNDR-DOMESTIC",4332,PENROSE ST,68, , ,4332,PENROSE,897077.7,1034446
19-060964,2019-12,09/29/2019 22:04,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,721,N TUCKER BLVD,36, ,NUISANCE ABATEMENT PROPERTY,2800,FLORISSANT,906857.6,1019492
19-063966,2019-12,10/01/2019 08:00,Y, , ,1, , 67701,6,LARCENY-FROM BUILDING UNDER $500,6144,W FLORISSANT AVE,76, , ,6144,FLORISSANT,890319.4,1048101
20-000409,2019-12,10/01/2019 08:00,Y, , ,1, ,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,6513,MARQUETTE AVE,9, , ,6513,MARQUETTE,877137.3,1007363
19-061624,2019-12,10/01/2019 10:07,Y, , ,1, , 69602,3,"LARCENY-ALL OTHER $500 - $24,999",0,S GRAND BLVD / RUSSELL BLVD,26, , , , ,894541,1012354
19-060973,2019-12,10/01/2019 15:00,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1500,OLIVE ST,36, ,NUISANCE ABATEMENT PROPERTY,1500,OLIVE,905442.8,1018627
19-060487,2019-12,10/01/2019 16:00,Y, , ,1, ,265321,2,LEAVING SCENE OF ACCIDENT,5147,SHAW AVE,12, , ,6031,SOUTHWEST,885304.8,1014005
19-062060,2019-12,10/03/2019 00:01,Y, , ,1, ,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,4714,TAMM AVE,8, , ,4714,TAMM,877846.8,1002938
19-049525,2019-12,10/03/2019 09:00,Y, , ,1, ,182130,6,DRUGS-POSSESSION/HEROIN,3930,N KINGSHIGHWAY BLVD,69,CAROUSEL MOTEL,@HOTEL- CAROUSEL,3930,KINGSHIGHWAY,891566.9,1035732
19-061799,2019-12,10/03/2019 09:22,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1032,LASALLE,34, , ,1032,LASALLE,0,0
19-060951,2019-12,10/03/2019 15:10,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,300,S GRAND BLVD,37, ,NUISANCE ABATEMENT PROPERTY,300,GRAND,896423.8,1019015
19-064315,2019-12,10/03/2019 16:00,Y, , ,1, , 64601,5,"LARCENY-FROM MTR VEH $500 - $24,999",6188,MCPHERSON AVE,46, , ,6188,MCPHERSON,877325.8,1026148
19-060819,2019-12,10/05/2019 03:00,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1600,PINE ST,36, ,NUISANCE ABATEMENT PROPERTY,1600,PINE,904957.8,1018479
19-060789,2019-12,10/07/2019 02:10,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1706,COCHRAN PL,61, ,NUISANCE ABATEMENT PROPERTY,1706,COCHRAN,905432.7,1022657
19-060794,2019-12,10/09/2019 10:30,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1115,N 18TH ST,61, ,NUISANCE ABATEMENT PROPERTY,1115,18TH,904887.3,1021519
19-050697,2019-12,10/09/2019 13:30,Y, , ,1, ,151110,5,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,5393,DR MARTIN LUTHER KING DR,50, , ,5393,DR MARTIN LUTHER KING,885772.9,1031989
19-061721,2019-12,10/09/2019 18:30,Y, , ,1, , 64711,5,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,2422,BISHOP P L SCOTT AVE,56, , ,2422,BISHOP P L SCOTT,896776.1,1027455
19-060814,2019-12,10/10/2019 10:20,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1600,PINE ST,36, ,NUISANCE ABATEMENT PROPERTY,1600,PINE,904957.8,1018479
19-060960,2019-12,10/10/2019 20:00,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1531,PINE ST,36, ,NUISANCE ABATEMENT PROPERTY,1531,PINE,905263.2,1018398
19-051230,2019-12,10/11/2019 01:00,Y, , ,1, , 21000,4,RAPE -- FORCIBLE, ,BIDDLE ST,64, , ,700,7TH,0,0
19-060803,2019-12,10/11/2019 12:20,Y, , ,1, , 63701,2,LARCENY-SHOPLIFT UNDER $500,2315,S KINGSHIGHWAY BLVD,13,WALGREENS, ,2315,KINGSHIGHWAY,886595.3,1011915
19-051173,2019-12,10/12/2019 02:20,Y, , ,1, , 21000,6,RAPE -- FORCIBLE,0,DURANT AVE / THEKLA AVE,72, , ,5000,THRUSH,0,0
19-051179,2019-12,10/12/2019 10:00,Y, , ,1, ,182250,5,DRUGS-POSSESSION/COCAINE,1451,N KINGSHIGHWAY BLVD,51, , , , ,888171.9,1030307
19-051201,2019-12,10/12/2019 10:02,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4609,PENROSE ST,69, , ,4609,PENROSE,895185.8,1035669
19-061796,2019-12,10/12/2019 17:40,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1452,CHOUTEAU,33, , ,1452,CHOUTEAU,0,0
19-054484,2019-12,10/12/2019 22:05,Y, , ,1, , 83000,5,ARSON-KNOWINGLY BURNING/SUCCESS,6110,COTE BRILLIANTE AVE,50,HOPE HOUSE, ,6110,COTE BRILLIANTE,881618.4,1035236
19-061416,2019-12,10/14/2019 09:00,Y, , ,1, ,103000,2,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,909,S TAYLOR AVE,39, ,ST LOUIS COLLEGE OF HEALTH CAREERS,909,TAYLOR,888402.7,1018876
19-051557,2019-12,10/14/2019 15:20,Y, , ,1, , 42012,4,AGG.ASSAULT-KNIFE/CITIZEN ADULT 2ND DEGREE,1505,COCHRAN PL,61, , ,1505,COCHRAN,906256.9,1022439
19-051557,2019-12,10/14/2019 15:20,Y, , ,1, , 42014,4,ASSLT-AGGRV-KNIFE/CUT-1ST-ADULT-DOMESTIC,1505,COCHRAN PL,61, , ,1505,COCHRAN,906256.9,1022439
19-061820,2019-12,10/14/2019 18:00,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1605,S TUCKER BLVD,33, , ,1605,TUCKER,904417.9,1012434
19-061014,2019-12,10/14/2019 19:35,Y, , ,1, , 69602,3,"LARCENY-ALL OTHER $500 - $24,999",2656,PARK AVE,31, , ,2656,PARK,899669.2,1014132
19-060325,2019-12,10/14/2019 22:00,Y, , ,1, , 69702,1,LARCENY-ALL OTHER UNDER $500,7300,VERMONT AVE,2, , ,7300,VERMONT,888906.3,990198.6
19-060805,2019-12,10/14/2019 22:15,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,714,OFALLON ST,62, ,NUISANCE ABATEMENT PROPERTY,714,OFALLON,909240.9,1021042
19-061898,2019-12,10/15/2018 00:01,Y, , ,1, ,103000,6,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,4014,UNION BLVD,70, ,@NPD,4014,UNION,890074.4,1037079
19-063505,2019-12,10/15/2019 08:00,Y, , ,1, , 71013,1,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,3902,SCHILLER PL,5, , ,3902,SCHILLER,888913.3,997710.3
19-061482,2019-12,10/15/2019 08:00,Y, , ,1, , 52322,4,BURGLARY-BUSINESS/UNK TIME/UNLAW ENT/UNOCCUPIE,725,N 23RD ST,36, , ,725,23RD,902495.8,1020449
19-051698,2019-12,10/15/2019 12:00,Y, , ,1, , 81000,5,ARSON-1ST DEGREE/SUCCESS,5536,PAGE BLVD,48, , ,5536,PAGE,883590.8,1030602
19-062269,2019-12,10/15/2019 14:00,Y, , ,1, , 69702,6,LARCENY-ALL OTHER UNDER $500,4738,ANDERSON AVE,69, , ,4738,ANDERSON,894425,1036561
19-061473,2019-12,10/15/2019 19:44,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,721,N TUCKER BLVD,36, ,NUISANCE ABATEMENT PROPERTY,721,TUCKER,906857.6,1019492
19-062136,2019-12,10/16/2019 00:01,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4031,DELMAR BLVD,58, , ,4031,DELMAR,894198.6,1023841
19-060760,2019-12,10/16/2019 08:43,Y, , ,1, , 67701,2,LARCENY-FROM BUILDING UNDER $500,2101,S KINGSHIGHWAY BLVD,12,U HAUL MOVING AND STORAGE, ,2101,KINGSHIGHWAY,886486.8,1012735
19-051937,2019-12,10/16/2019 12:30,Y, , ,1, , 91114,4,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",525,S JEFFERSON AVE,37, ,@HOTEL- RESIDENCE INN,525,JEFFERSON,900510.3,1017215
19-061811,2019-12,10/16/2019 18:45,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1412,CHOUTEAU,33, , ,1412,CHOUTEAU,0,0
19-052276,2019-12,10/17/2019 18:00,Y, , ,1, ,265321,1,LEAVING SCENE OF ACCIDENT,3940,WILMINGTON AVE,3, , ,3940,WILMINGTON,887798.7,996229.3
19-052190,2019-12,10/17/2019 21:00,Y, , ,1, , 44016,5,ASSLT-AGGRV-HND/FST/FT-3RD-ADUL-DOMESTIC,1907,MARCUS AVE,55, ,APT A,1907,MARCUS,891052.7,1030335
19-064819,2019-12,10/18/2019 14:30,Y, , ,1, , 67701,4,LARCENY-FROM BUILDING UNDER $500,1612,BIDDLE ST,61, , ,1612,BIDDLE,905964.9,1021426
19-061640,2019-12,10/19/2019 11:55,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,732,CARR ST,62, ,NUISANCE ABATEMENT PROPERTY,732,CARR,909085.3,1020208
19-061645,2019-12,10/19/2019 15:50,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4012,PECK ST,67, ,NUISANCE ABATEMENT PROPERTY,4012,PECK,901816.9,1030392
