Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
19-058348,2019-11,04/25/2019 18:00,Y, , ,1, , 21000,1,RAPE -- FORCIBLE,4700,ADKINS AVE,5, , ,4700,ADKINS,0,0
19-035887,2019-11,05/04/2019 09:00,Y, , ,1, ,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,5656,BISCHOFF AVE,12, , ,5656,BISCHOFF,882336.6,1013200
19-021175,2019-11,05/09/2019 16:00, , , ,-1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1127,VANDEVENTER,58, , ,1127,VANDEVENTER,0,0
19-054937,2019-11,05/23/2017 00:01,Y, , ,1, ,175500,6,SEX OFFNS-SX MISCONDUCT/FIRST,0,GAST PL,74, , ,0,GAST,0,0
19-024574,2019-11,05/24/2019 05:30,Y, , ,1, ,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,0,SCHIRMER ST / VERMONT AVE,2, ,PARKED AT CURB, , ,887828.3,989073.6
19-024260,2019-11,05/25/2019 20:00, , , ,-1, , 71013,5,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4018,SAINT LOUIS,56, , ,4018,SAINT LOUIS,0,0
19-059506,2019-11,05/27/2019 15:00,Y, , ,1, ,264100,1,HEALTH-SANITATION VIOL,3700,HOLLY HILLS AVE,1,CARONDELET PARK, ,1630,18TH,889343.3,992254.1
19-055558,2019-11,06/01/2018 08:00,Y, , ,1, , 71013,6,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4540,LEXINGTON AVE,56, , ,4540,LEXINGTON,893976.2,1032982
19-058686,2019-11,06/01/2018 15:00,Y, , ,1, ,179220,1,SEX OFFNS-CHILD MOLESTATION-SECOND DEGREE,4500,S GRAND BLVD,16, , ,4500,GRAND,0,0
19-055612,2019-11,06/01/2019 00:01,Y, , ,1, ,121000,4,EMBEZZLEMENT-VALUE OVER $150,1214,N 8TH ST,62, , ,1214,8TH,908863.1,1020692
19-055599,2019-11,06/02/2019 10:00,Y, , ,1, , 67601,0,"LARCENY-FROM BUILDING $500 - $24,999",0,UNKNOWN,0, , ,3643,WILMINGTON,0,0
19-026089,2019-11,06/05/2019 12:24,Y, , ,1, ,151110,4,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,0,I 70 WESTBOUND / MADISON ST,63, ,ON HIGHWAY, , ,908505,1024640
19-026829,2019-11,06/08/2019 20:00,Y, , ,1, , 41016,2,ASSLT-AGGRAV-FIREARM-3RD-ADULT-DOMESTIC,3515,MORGANFORD RD,15, , ,3515,MORGANFORD,887932.8,1005333
19-026829,2019-11,06/08/2019 20:00,Y, , ,1, , 91114,2,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",3515,MORGANFORD RD,15, , ,3515,MORGANFORD,887932.8,1005333
19-056153,2019-11,06/16/2019 19:00,Y, , ,1, , 72113,1,AUTO THEFT-TRUCK/PERM RETNT/UNRECOV OVER 48HR,6002,WANDA AVE,5, , ,6002,WANDA,885201.8,998388.8
19-054926,2019-11,06/18/2012 00:01,Y, , ,1, , 21000,2,RAPE -- FORCIBLE,3600,MCREE AVE,29, , ,3600,MCREE,0,0
19-029532,2019-11,06/20/2019 08:00, , , ,1, , 43025,6,ASSLT-AGGRAV-OTH-WPN-2ND-CHILD-DOMESTIC,8408,CHURCH,74, , ,8408,CHURCH,0,0
19-055618,2019-11,06/24/2019 12:00,Y, , ,1, , 69702,0,LARCENY-ALL OTHER UNDER $500,0,UNKNOWN,0, , ,3928,MINNESOTA,0,0
19-058240,2019-11,06/25/2019 08:34,Y, , ,1, ,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,5032,LANSDOWNE AVE,7, , ,5032,LANSDOWNE,883303.9,1002989
19-055846,2019-11,06/25/2019 15:44,Y, , ,1, ,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,3164,S COMPTON AVE,25, ,RESIDENCE,3164,COMPTON,895791,1007270
19-056802,2019-11,07/01/2018 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,4923,THEODORE AVE,71, , ,4923,THEODORE,894228.3,1039019
19-043912,2019-11,07/05/2019 07:00,Y, , ,1, ,204100,1,FAMILY & CHILD CRIME-ENDANGR WELF CHILD,4240,VIRGINIA AVE,16, , ,4240,VIRGINIA,894262.9,999871.9
19-056956,2019-11,07/05/2019 16:00,Y, , ,1, , 65701,6,LARCENY-MTR VEH PARTS UNDER $500,6140,W FLORISSANT AVE,76,STL AUTO GROUP, ,6140,FLORISSANT,890372.1,1048014
19-032397,2019-11,07/07/2019 22:50,Y, , ,1, , 41011,2,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,1,FINE ARTS DR,82,@FOREST PARK - ART MUSEUM,@FOREST PARK - ART MUSEUM,5700,LINDELL,878856.8,1021748
19-032909,2019-11,07/10/2019 17:00,Y, , ,1, , 41014,1,ASSLT-AGGRAV-FIREARM-1ST-ADULT-DOMESTIC,0,EICHELBERGER ST / TENNESSEE AV,1, , , , ,891265.4,996477.9
19-032909,2019-11,07/10/2019 17:00,Y, , ,1, , 41024,1,ASSLT-AGGRAV-FIREARM-1ST-CHILD-DOMESTIC,0,EICHELBERGER ST / TENNESSEE AV,1, , , , ,891265.4,996477.9
19-032909,2019-11,07/10/2019 17:00,Y, , ,1, , 41024,1,ASSLT-AGGRAV-FIREARM-1ST-CHILD-DOMESTIC,0,EICHELBERGER ST / TENNESSEE AV,1, , , , ,891265.4,996477.9
19-032909,2019-11,07/10/2019 17:00,Y, , ,1, , 41024,1,ASSLT-AGGRAV-FIREARM-1ST-CHILD-DOMESTIC,0,EICHELBERGER ST / TENNESSEE AV,1, , , , ,891265.4,996477.9
19-032909,2019-11,07/10/2019 17:00,Y, , ,1, , 41024,1,ASSLT-AGGRAV-FIREARM-1ST-CHILD-DOMESTIC,0,EICHELBERGER ST / TENNESSEE AV,1, , , , ,891265.4,996477.9
19-032909,2019-11,07/10/2019 17:00,Y, , ,1, , 41024,1,ASSLT-AGGRAV-FIREARM-1ST-CHILD-DOMESTIC,0,EICHELBERGER ST / TENNESSEE AV,1, , , , ,891265.4,996477.9
19-058091,2019-11,07/12/2019 10:00,Y, , ,1, , 52312,2,BURGLARY-BUSINESS/UNK TIME/FORC ENT/UNOCCUPIED,2101,S KINGSHIGHWAY BLVD,12,UHAUL, ,2101,KINGSHIGHWAY,886486.8,1012735
19-055968,2019-11,07/14/2019 09:00,Y, , ,1, , 69702,6,LARCENY-ALL OTHER UNDER $500,5475,PARTRIDGE AVE,72, , ,5475,PARTRIDGE,891355.3,1045502
19-055392,2019-11,07/15/2019 07:00,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5706,THEKLA AVE,72, , ,5706,THEKLA,891454.8,1043887
19-056220,2019-11,07/15/2019 18:41,Y, , ,1, , 69702,1,LARCENY-ALL OTHER UNDER $500,227,BATES ST,1, ,2ND FL,227,BATES,893501.2,993967.1
19-056815,2019-11,07/16/2019 00:01,Y, , ,1, ,121000,6,EMBEZZLEMENT-VALUE OVER $150,4216,NATURAL BRIDGE AVE,56, ,ZX STATION,4216,NATURAL BRIDGE,896903.5,1031855
19-055265,2019-11,07/18/2019 07:00,Y, , ,1, ,264100,5,HEALTH-SANITATION VIOL,2728,SEMPLE AVE,50, , ,2728,SEMPLE,886641.6,1034271
18-033122,2019-11,07/19/2018 03:10, , , ,-1, , 38111,4,ROBBERY CARJACKING /FIREARM USED/SUCCESSFUL,1848,CASS,61, , ,1848,CASS,0,0
19-055390,2019-11,07/19/2019 01:20,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4487,NATURAL BRIDGE AVE,69, , ,4487,NATURAL BRIDGE,894771.2,1033355
19-055387,2019-11,07/19/2019 11:35,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4979,NATURAL BRIDGE AVE,69, ,@MCDONALDS - NATURAL BRIDGE,4979,NATURAL BRIDGE,891403.6,1035206
19-055394,2019-11,07/24/2019 16:00,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,8450,GAST PL,74, ,@BADEN HOUSE,8450,GAST,896704.1,1049972
19-037050,2019-11,08/01/2019 00:55, , , ,-1, , 83000,6,ARSON-KNOWINGLY BURNING/SUCCESS,800,BITTNER,74, , ,800,BITTNER,0,0
19-055266,2019-11,08/01/2019 07:17,Y, , ,1, ,264100,5,HEALTH-SANITATION VIOL,2728,SEMPLE AVE,50, , ,2728,SEMPLE,886641.6,1034271
19-055976,2019-11,08/01/2019 16:00,Y, , ,1, , 21000,5,RAPE -- FORCIBLE,3400,UNION BLVD,52, , ,1900,OLIVE,0,0
19-054717,2019-11,08/01/2019 20:10,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,707,N KINGSHIGHWAY BLVD,51, ,@MOBIL - 707 N KINGSHIGHWAY,707,KINGSHIGHWAY,887661.3,1026321
19-052304,2019-11,08/01/2019 23:00,Y, , ,1, , 21000,0,RAPE -- FORCIBLE,0,UNKNOWN,0, , ,2000,CHOUTEAU,0,0
19-054718,2019-11,08/02/2019 03:00,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5096,MINERVA AVE,51, , ,5096,MINERVA,887048.3,1029639
19-037348,2019-11,08/02/2019 11:43,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT,4069,OLIVE ST,38, , , , ,893656.1,1023136
19-056965,2019-11,08/02/2019 13:02,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4614,N 20TH ST,66, , ,4614,20TH,903375.1,1033185
19-056966,2019-11,08/04/2019 08:00,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5927,THEKLA AVE,76, , ,5927,THEKLA,890436.4,1045170
19-055482,2019-11,08/04/2019 12:00,Y, , ,1, , 69702,6,LARCENY-ALL OTHER UNDER $500,8910,RIVERVIEW BLVD,74, , ,8910,RIVERVIEW,894314.9,1050997
19-049043,2019-11,08/08/2019 17:00,Y, , ,1, ,171300,2,SEX OFFNS-STATUATORY RAPE/SECOND,3600,LAFAYETTE AVE,29, , ,3600,LAFAYETTE,0,0
19-054722,2019-11,08/09/2019 20:45,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4539,MCMILLAN AVE,54, , ,4539,MCMILLAN,890940.5,1026838
19-050245,2019-11,08/11/2019 00:01,Y, , ,1, ,204100,3,FAMILY & CHILD CRIME-ENDANGR WELF CHILD,1204,S 8TH ST,34, , ,1204,8TH,906671.4,1013055
19-039445,2019-11,08/13/2019 13:45,Y, , ,1, ,151110,2,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,1135,BARON AVE,40, , ,1135,BARON,904066,1072714
19-039771,2019-11,08/15/2019 06:30,Y, , ,1, , 44016,1,ASSLT-AGGRV-HND/FST/FT-3RD-ADUL-DOMESTIC,4214,MINNESOTA AVE,17, , ,4214,MINNESOTA,895674,999878.2
19-056964,2019-11,08/16/2019 23:38,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,8304,N BROADWAY,74, , ,8304,BROADWAY,897254.8,1048447
19-054724,2019-11,08/17/2019 23:58,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4218,LINDELL BLVD,38, , ,4218,LINDELL,891808.7,1022061
19-056968,2019-11,08/18/2019 08:31,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4700,BIRCHER BLVD,69, , ,4700,BIRCHER,895152.2,1037234
19-040884,2019-11,08/21/2019 09:21,Y, , ,1, ,265321,2,LEAVING SCENE OF ACCIDENT,4309,GIBSON AVE,39, , ,4309,GIBSON,890290.2,1017784
19-058125,2019-11,08/21/2019 19:30,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3608,SALENA ST,18, , ,3608,SALENA,900095.8,1003263
19-056963,2019-11,08/22/2019 12:20,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5827,HARNEY AVE,72, , ,5827,HARNEY,891613.6,1045483
19-056836,2019-11,08/22/2019 12:37,Y, , ,1, ,264100,5,HEALTH-SANITATION VIOL,3409,BELT AVE,50, , ,3409,BELT,887302.3,1036737
19-054726,2019-11,08/23/2019 09:01,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4451,FOREST PARK AVE,38, ,@PARKVIEW APTS,4451,FOREST PARK,889537.3,1021388
19-041447,2019-11,08/23/2019 15:30, , , ,-1, , 91113,3,SIMPLE ASSAULT-ADULT/NO INJURY,3233,NEBRASKA,30, ,:APT A,3233,NEBRASKA,0,0
19-041447,2019-11,08/23/2019 15:30,Y, , ,1, , 91113,3,SIMPLE ASSAULT-ADULT/NO INJURY,3233,NEBRASKA,30, ,:APT A,3233,NEBRASKA,0,0
19-055643,2019-11,08/24/2010 00:01,Y, , ,1, , 21000,1,RAPE -- FORCIBLE,3800,BURGEN AVE,3, , ,3800,BURGEN,0,0
19-054719,2019-11,08/24/2019 10:00,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4555,MCMILLAN AVE,54, , ,4555,MCMILLAN,890677.1,1026988
19-057245,2019-11,08/27/2019 09:00,Y, , ,1, , 69602,6,"LARCENY-ALL OTHER $500 - $24,999",5400,N EUCLID AVE,71, , ,5400,EUCLID,895211.2,1039045
19-058090,2019-11,08/27/2019 10:20,Y, , ,1, ,115400,5,STLG BY DECEIT/IDENTITY THEFT REPORT,5357,LINDELL BLVD,47, , ,5357,LINDELL,883847.6,1024120
19-056961,2019-11,08/28/2019 02:00,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5063,GENEVIEVE AVE,72, , ,5063,GENEVIEVE,891221.9,1042464
19-046015,2019-11,08/30/2019 08:00,Y, , ,1, ,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,5814,VICTORIA AVE,41, , ,5814,VICTORIA,881799.3,1017093
19-059466,2019-11,09/01/2019 00:01,Y, , ,1, ,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3928,DELOR ST,5,RUONG CA PHE, ,3928,DELOR,889313.4,998917.6
19-053394,2019-11,09/01/2019 08:00,Y, , ,1, , 21000,3,RAPE -- FORCIBLE,3900,PENNSYLVANIA AVE,16, , ,3200,HARTFORD,0,0
19-053432,2019-11,09/01/2019 08:00,Y, , ,1, , 21000,2,RAPE -- FORCIBLE,3600,HARTFORD ST,15, , ,3600,HARTFORD,0,0
19-056590,2019-11,09/01/2019 08:00,Y, , ,1, ,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,6034,ODELL ST,11, , ,6034,ODELL,879628.2,1010589
19-055746,2019-11,09/04/2019 18:05,Y, , ,1, ,264100,6,HEALTH-SANITATION VIOL,6204,HALL ST,79, , ,6204,HALL,902829.8,1040651
19-056970,2019-11,09/04/2019 21:00,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,8504,CONCORD PL,74, , ,8504,CONCORD,897145.5,1050094
19-056971,2019-11,09/05/2019 21:10,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,818,GUSTAV AVE,74, , ,818,GUSTAV,897469.4,1052517
19-044271,2019-11,09/06/2019 01:00,Y, , ,1, , 21000,3,RAPE -- FORCIBLE,2700,CHEROKEE ST,19, , ,1900,OLIVE,0,0
19-055847,2019-11,09/06/2019 12:00,Y, , ,1, , 65701,6,LARCENY-MTR VEH PARTS UNDER $500,5524,RIVERVIEW BLVD,72, , ,5524,RIVERVIEW,891320.4,1045598
19-057313,2019-11,09/07/2018 14:00,Y, , ,1, , 71013,3,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,2012,CHIPPEWA ST,18, , ,2012,CHIPPEWA,899372,1002107
19-048189,2019-11,09/07/2019 12:50,Y, , ,1, , 92000,4,SIMPLE ASSAULT-HARRASSMENT,229,N 7TH ST,35,PARKING VIOLATIONS BUREAU BUILDING, ,229,7TH,908359,1017605
19-056969,2019-11,09/07/2019 14:00,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1500,E JOHN AVE,66, , ,1500,JOHN,903595.4,1034011
19-044423,2019-11,09/07/2019 18:13,Y, , ,1, , 63701,3,LARCENY-SHOPLIFT UNDER $500,3430,S GRAND BLVD,25, ,@SCHNUCKS- S GRAND AND GRAVOIS,3430,GRAND,893788.8,1005469
19-057024,2019-11,09/09/2019 17:00,Y, , ,1, , 51312,6,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,2944,N EUCLID AVE,55, ,SINGLE FAMILY HOME,2944,EUCLID,891132.4,1033378
19-060053,2019-11,09/11/2019 15:32,Y, , ,1, ,264100,6,HEALTH-SANITATION VIOL,8602,GOODFELLOW BLVD,73, , ,8602,GOODFELLOW,890969.3,1050184
19-046037,2019-11,09/12/2019 09:20,Y, , ,1, ,115100,2,FRAUD-STEALING BY DECEIT/OVER $150,4553,GIBSON AVE,39, , ,4553,GIBSON,887984.5,1018407
19-047464,2019-11,09/12/2019 13:00, , , ,-1, , 71013,3,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,3517,PESTALOZZI,25, , ,3517,PESTALOZZI,0,0
19-058298,2019-11,09/14/2019 00:15,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4101,GRAVOIS AVE,16, ,@QT - GRAVOIS / CHIPPEWA,4101,GRAVOIS,889849,1003566
19-058255,2019-11,09/15/2019 13:50,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4720,S BROADWAY,17, , ,4720,BROADWAY,895912.1,996407
19-045929,2019-11,09/15/2019 13:50,Y, , ,1, , 91114,1,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",4720,S BROADWAY,17, , , , ,895912.1,996407
19-057126,2019-11,09/16/2019 19:16,Y, , ,1, ,266510,6,PUBLIC ORDER-TRESPASSING,6204,HALL ST,79, , ,6204,HALL,902829.8,1040651
19-057419,2019-11,09/17/2018 00:01,Y, , ,1, , 21000,5,RAPE -- FORCIBLE,5900,MAFFITT AVE,50, , ,5900,MAFFITT,0,0
19-057974,2019-11,09/17/2019 09:40,Y, , ,1, ,264100,6,HEALTH-SANITATION VIOL,8602,GOODFELLOW BLVD,73, , ,8630,GOODFELLOW,890969.3,1050184
19-055745,2019-11,09/17/2019 18:05,Y, , ,1, ,264100,6,HEALTH-SANITATION VIOL,6204,HALL ST,79, , ,6204,HALL,902829.8,1040651
19-055757,2019-11,09/17/2019 20:45,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4676,KOSSUTH AVE,69, , ,4676,KOSSUTH,894165.1,1035333
19-055281,2019-11,09/18/2019 09:56,Y, , ,1, ,264100,2,HEALTH-SANITATION VIOL,5003,MARDEL AVE,14, , ,5003,MARDEL,884119.7,1005021
19-046650,2019-11,09/18/2019 16:30,Y, , ,1, ,182130,6,DRUGS-POSSESSION/HEROIN,840,WALL ST,74, , ,840,WALL,897040.3,1050822
19-055756,2019-11,09/19/2019 09:50,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4126,W FLORISSANT AVE,68, , ,4126,FLORISSANT,900142.6,1034662
19-056152,2019-11,09/19/2019 12:08,Y, , ,1, , 67701,1,LARCENY-FROM BUILDING UNDER $500,3905,S GRAND BLVD,16,SAM S INTERNATIONAL FOODS,SAM S INTERNATIONAL FOODS,3905,GRAND,893026.9,1002340
19-057127,2019-11,09/19/2019 19:16,Y, , ,1, ,266510,6,PUBLIC ORDER-TRESPASSING,6204,HALL ST,79, , ,6204,HALL,902829.8,1040651
19-055965,2019-11,09/20/2019 09:42,Y, , ,1, , 65701,4,LARCENY-MTR VEH PARTS UNDER $500,1610,OLIVE ST,36,CENTENARY CHURCH, ,1610,OLIVE,904990.8,1018745
19-055396,2019-11,09/20/2019 10:00,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,209,E GRAND AVE,64, , ,209,GRAND,904878.5,1034267
19-047011,2019-11,09/20/2019 12:58,Y, , ,1, ,182400,5,DRUGS-POSSESSION/MARIJUANA,1610,N KINGSHIGHWAY BLVD,55, ,@WARWOOD APTS, , ,888692.6,1030783
19-047039,2019-11,09/20/2019 16:09,Y, , ,1, ,151110,5,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,1920,UNION BLVD,52, , , , ,887224.1,1032369
19-055815,2019-11,09/20/2019 20:00,Y, , ,1, , 64711,3,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,3112,CHIPPEWA ST,16, , ,3112,CHIPPEWA,895490.7,1002713
19-057727,2019-11,09/23/2019 12:00,Y, , ,1, , 52322,3,BURGLARY-BUSINESS/UNK TIME/UNLAW ENT/UNOCCUPIE,1250,S 3RD ST,20, ,UNIT B9,1250,3RD,907790.2,1012551
19-047560,2019-11,09/23/2019 12:54,Y, , ,1, ,151110,6,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,5417,W FLORISSANT AVE,72, , ,5418,FLORISSANT,893932.5,1043058
19-055963,2019-11,09/23/2019 22:00,Y, , ,1, ,262100,3,PORNAGRAPHY-PROMOTING,1914,GEYER AVE,23, , ,1914,GEYER,901860.5,1011382
19-047818,2019-11,09/24/2019 13:19,Y, , ,1, , 21000,3,RAPE -- FORCIBLE,1400,MONTROSE AVE,31, , ,1400,MONTROSE,0,0
19-055796,2019-11,09/25/2019 04:30,Y, , ,1, ,264100,2,HEALTH-SANITATION VIOL,2163,S GRAND BLVD,27, ,@JACK IN THE BOX - GRAND,2163,GRAND,894231.9,1011658
